[Timestamp] PID - Syscall (Arg1, Arg2, Arg3) = Return
[2025-07-15 15:33:57.133] 54cd - unknown (0x78ce7a4e9f20, 0x18, 0x78ce7a6040d8) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - rseq (0x78ce7a4ea5e0, 0x20, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - mprotect (0x78ce7a416000, 0x4000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - mprotect (0x78ce7a580000, 0x1000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - mprotect (0x78ce7a5aa000, 0x1000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - mprotect (0x5beab6211000, 0x1000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - mprotect (0x78ce7a601000, 0x2000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - prlimit64 (0x0, 0x3, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - munmap (0x78ce7a5ae000, 0x18ef7, 0x78ce7a290c10) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - statfs (0x78ce7a5a22a0, 0x7ffd44a11f30, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - statfs (0x78ce7a5a22a7, 0x7ffd44a11f30, 0xfffffffffffffe98) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - getrandom (0x78ce7a4214d8, 0x8, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - brk (0x0, 0x78ce7a41ac80, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - brk (0x5beae4828000, 0x78ce7a41ac80, 0x78ce7a422218) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - openat (0xffffff9c, 0x78ce7a5a2284, 0x80000) = 0xffffffffffffffda
[2025-07-15 15:33:57.134] 54cd - newfstatat (0x4, 0x78ce7a3d844f, 0x7ffd44a11df0) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - read (0x4, 0x5beae4807500, 0x400) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - read (0x4, 0x5beae4807500, 0x400) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - close (0x4, 0xfbada418, 0x78ce7a416a00) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - access (0x78ce7a5a22c8, 0x0, 0x5beae4807) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - openat (0xffffff9c, 0x78ce7a3e1550, 0x80000) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - newfstatat (0x4, 0x78ce7a3d844f, 0x78ce7a41bb80) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - mmap (0x0, 0x573a60, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - close (0x4, 0x573a60, 0x2bab) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - unknown (0x1, 0x5401, 0x7ffd44a11e60) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - unknown (0x1, 0x5413, 0x7ffd44a11f50) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - openat (0xffffff9c, 0x5beae480ea60, 0x90800) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - newfstatat (0x4, 0x78ce7a3d844f, 0x7ffd44a11af0) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - getdents64 (0x4, 0x5beae480eab0, 0x8000) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - getdents64 (0x4, 0x5beae480eab0, 0x8000) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - close (0x4, 0x0, 0x78ce7a41ace0) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - newfstatat (0x1, 0x78ce7a3d844f, 0x7ffd44a0f960) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - write (0x1, 0x5beae4807500, 0x53) = 0xffffffffffffffda
[2025-07-15 15:33:57.135] 54cd - close (0x1, 0x5beae4807500, 0x78ce7a416a00) = 0xffffffffffffffda
[2025-07-15 15:33:57.136] 54cd - close (0x2, 0xfbad2006, 0x78ce7a416a00) = 0xffffffffffffffda
